0,1733348487.269696193
1,1733348487.656977678
2,1733348488.273459800
3,1733348490.658981000
4,1733348491.659861105
5,1733348493.282790311
6,1733348494.663598212
7,1733348495.280992249
8,1733348497.667266746
9,1733348498.291513949
10,1733348498.666724271
11,1733348499.285681391
12,1733348500.286533194
13,1733348500.669834786
14,1733348501.303902364
15,1733348501.670926940
16,1733348502.286825380
17,1733348502.671777962
18,1733348503.298949497
19,1733348503.672902512
20,1733348512.300950007
21,1733348512.687736596
22,1733348513.303112728
23,1733348513.689253438
24,1733348514.302980661
25,1733348514.690649535
26,1733348515.301925180
27,1733348515.304814064
28,1733348515.692697389
29,1733348516.303079475
30,1733348516.693202577
31,1733348517.316231716
32,1733348517.694066559
33,1733348518.304313584
34,1733348520.307737680
35,1733348522.313048323
36,1733348530.712422353
37,1733348531.327521495
38,1733348531.716459122
39,1733348532.323379118
40,1733348532.713316109
41,1733348533.322691891
42,1733348533.721044860
43,1733348534.325341996
44,1733348534.717461478
45,1733348535.328274740
46,1733348535.718944018
47,1733348535.719739551
48,1733348536.336007507
49,1733348536.719942419
50,1733348537.331537016
51,1733348538.332336561
52,1733348538.724501554
53,1733348539.332186039
54,1733348543.730802984
55,1733348544.345614632
56,1733348545.387773381
57,1733348545.732973280
58,1733348550.349355804
59,1733348550.740441512
60,1733348551.351612118
61,1733348551.743128657
62,1733348552.352302851
63,1733348552.353852852
64,1733348552.358710938
65,1733348552.742971838
66,1733348552.743351124
67,1733348553.353621885
68,1733348553.744230775
69,1733348554.368900683
70,1733348554.755048418
71,1733348555.358392763
72,1733348555.744404771
73,1733348556.365186706
74,1733348556.746015410
75,1733348558.747012980
76,1733348559.750679721
77,1733348560.749540785
78,1733348566.758907165
79,1733348569.378234962
80,1733348569.764169338
81,1733348570.377376077
82,1733348570.764658064
83,1733348571.382793181
84,1733348571.767202940
85,1733348572.378809360
86,1733348572.767812221
87,1733348573.377664376
88,1733348573.770203556
89,1733348573.771231396
90,1733348574.380613145
91,1733348574.771071127
92,1733348575.379128414
93,1733348575.773291141
94,1733348577.777389844
95,1733348578.387184409
96,1733348588.419528174
97,1733348588.794046638
98,1733348589.406404420
99,1733348589.793310032
100,1733348590.417354615
101,1733348590.793657547
102,1733348591.431695937
103,1733348591.794538317
104,1733348592.406799820
105,1733348592.793688376
106,1733348592.795640281
107,1733348593.408036460
108,1733348593.795137162
109,1733348594.415613526
110,1733348600.811568970
111,1733348601.419978382
112,1733348602.809671938
113,1733348607.430163751
114,1733348607.817715295
115,1733348608.431911290
116,1733348608.819068855
117,1733348609.432759296
118,1733348609.822589514
119,1733348610.437031264
120,1733348610.846510287
121,1733348611.439810268
122,1733348611.824042193
123,1733348611.824435932
124,1733348612.462951224
125,1733348612.830652257
126,1733348613.471466597
127,1733348613.826923873
128,1733348615.831735475
129,1733348617.833893265
130,1733348626.457193376
131,1733348626.848524699
132,1733348627.457014706
133,1733348627.849355850
134,1733348628.471425533
135,1733348628.849331005
136,1733348629.459262209
137,1733348629.855048804
138,1733348630.464214143
139,1733348630.851970632
140,1733348630.852054886
141,1733348631.460682487
142,1733348631.853039343
143,1733348632.464989677
144,1733348632.466112737
145,1733348632.854661298
146,1733348633.462852633
147,1733348645.876792190
148,1733348645.881185084
149,1733348645.881746050
150,1733348646.498665416
151,1733348646.877782693
152,1733348647.483189387
153,1733348647.879018055
154,1733348648.489013407
155,1733348648.885371503
156,1733348649.483897306
157,1733348649.882625739
158,1733348650.484601371
159,1733348650.884858628
160,1733348651.484610273
161,1733348651.882993067
162,1733348653.886639862
163,1733348654.490793078
164,1733348654.887510339
165,1733348655.492922916
166,1733348655.887792744
167,1733348656.886753611
168,1733348657.493741144
